time	first_open	app_remove	session_start	app_open	login	view_exercise	health_survey	view_roadmap	practice_with_video	practice_with_ai	chat_ai	show_popup	view_detail_popup	close_popup	store_subscription	in_app_purchase	avg_engage_time
20250607	3	0	8	3	0	1	0	0	0	0	0	0	0	0	0	0	1860
20250608	0	0	5	2	0	1	0	1	0	1	0	0	0	0	0	0	1000
20250609	0	0	5	3	1	1	1	1	0	1	1	0	0	0	0	0	26596
20250610	1	0	6	4	1	3	0	0	1	1	1	0	0	0	0	0	7257
20250611	6	1	14	2	3	3	3	3	2	1	2	0	0	0	0	0	1549
20250612	3	2	9	6	6	7	2	3	3	3	6	0	0	0	0	0	2501
20250613	2	0	10	5	4	3	1	0	2	1	0	0	0	0	2	0	2149
20250614	0	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	121
20250615	1	0	8	5	1	1	1	1	0	0	1	0	0	0	1	0	88
20250616	1	1	10	4	1	2	1	2	0	1	0	0	0	0	1	0	825
20250617	5	0	20	14	8	11	1	0	6	2	2	0	0	0	0	0	3570
20250618	4	0	15	14	9	13	0	0	4	3	0	0	0	0	0	0	5977
20250619	6	2	13	10	7	11	2	3	6	6	2	0	0	0	2	0	3158
20250620	0	0	8	3	2	6	0	0	3	0	2	0	0	0	1	0	354
20250621	1	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	288
20250622	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
20250623	0	1	8	4	3	3	0	1	0	0	0	0	0	0	0	0	1410
20250624	3	0	8	3	2	4	1	1	1	0	0	0	0	0	2	0	218
20250625	0	0	9	4	1	4	0	0	0	4	1	0	0	0	1	0	328
20250626	1	1	5	1	1	2	0	0	0	0	1	0	0	0	0	0	1375
20250627	1	0	8	0	1	2	0	0	1	1	0	0	0	0	0	0	633
20250628	0	1	5	1	0	1	0	0	1	0	0	0	0	0	0	0	553
20250629	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	6
20250630	1	0	4	1	0	1	0	0	1	1	2	0	0	0	0	0	199
20250701	1	0	5	1	0	2	0	0	1	0	0	0	0	0	0	0	570
20250702	3	1	8	5	4	5	2	4	5	4	1	0	0	0	3	0	1553
20250703	0	1	4	2	0	1	0	0	1	0	0	0	0	0	0	0	982
20250704	4	0	11	7	1	6	1	1	2	0	2	0	0	0	1	0	3170
20250705	2	1	9	5	1	3	1	0	2	2	2	0	0	0	0	0	6990
20250706	0	1	6	4	1	1	0	1	0	1	1	0	0	0	0	0	147
20250707	0	1	8	4	0	1	0	0	1	0	0	0	0	0	0	0	91
20250708	2	0	12	5	1	3	2	1	2	2	3	0	0	0	1	0	461
20250709	0	0	11	8	5	4	1	4	2	2	0	0	0	0	1	0	5452
20250710	2	0	6	3	0	5	0	0	1	5	1	0	0	0	0	0	10550
20250711	2	0	9	7	2	5	2	2	1	1	0	0	0	0	2	0	727
20250712	1	0	7	3	0	3	0	1	3	3	1	0	0	0	0	0	1131
20250713	1	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	31
20250714	2	0	7	3	0	3	1	1	2	0	0	0	0	0	1	0	504
20250715	1	0	9	2	0	4	0	0	2	0	0	0	0	0	0	0	290
20250716	12	1	22	11	5	13	0	0	5	4	1	0	0	0	1	0	831
20250717	5	0	14	11	4	9	1	3	3	2	1	0	0	0	2	0	5350
20250718	1	0	8	2	0	2	0	0	0	1	0	0	0	0	0	0	5027
20250719	5	0	12	6	1	4	1	0	1	0	3	0	0	0	0	0	239
20250720	0	0	4	2	1	1	1	1	1	0	1	0	0	0	1	1	474
20250721	3	0	7	3	0	1	0	0	2	0	0	0	0	0	0	0	1757
20250722	2	0	4	2	1	0	0	0	0	0	1	0	0	0	0	0	180
20250723	6	0	15	5	1	9	3	2	6	4	3	0	0	0	1	0	487
20250724	7	3	16	8	6	9	3	4	6	3	2	0	0	0	3	0	648
20250725	0	0	15	7	2	7	0	0	2	1	2	0	0	0	1	0	357
20250726	5	0	12	4	0	5	4	1	4	3	0	0	0	0	3	0	460
20250727	8	0	13	3	1	5	3	1	2	2	1	0	0	0	1	0	267
20250728	6	0	14	3	0	4	3	1	3	1	3	0	0	0	1	0	236
20250729	8	0	18	8	3	6	5	1	0	0	3	0	0	0	0	0	339
20250730	7	2	19	11	7	8	3	1	3	3	3	0	0	0	0	0	3160
20250731	8	1	20	7	4	8	5	2	5	0	6	0	0	0	2	0	2202
20250801	12	0	23	8	6	5	7	2	1	1	5	0	0	0	3	0	263
20250802	3	0	17	6	1	9	2	2	6	4	1	0	0	0	1	0	831
20250803	6	0	14	5	1	7	4	3	3	5	2	0	0	0	1	0	879
20250804	7	0	18	5	0	4	2	2	2	2	3	0	0	0	0	0	259
20250805	5	0	16	5	1	8	2	2	2	2	5	0	0	0	3	0	207
20250806	3	0	15	8	0	2	3	2	0	0	2	0	0	0	0	0	285
20250807	10	0	25	6	2	8	9	6	5	4	9	0	0	0	0	0	468
20250808	2	0	14	8	1	6	1	2	5	1	4	0	0	0	1	0	279
20250809	3	1	12	4	0	4	1	0	1	2	0	0	0	0	0	0	642
20250810	1	0	6	5	0	1	0	0	0	0	0	0	0	0	0	0	34
20250811	5	0	12	4	1	4	2	1	1	2	1	0	0	0	0	0	217
20250812	9	0	16	4	0	3	2	1	2	1	2	0	0	0	1	0	397
20250813	4	1	12	7	2	2	3	1	1	0	0	0	0	0	1	0	860
20250814	8	1	20	10	3	8	3	1	2	1	4	0	0	0	1	0	316
20250815	3	0	12	4	0	6	0	0	4	0	1	0	0	0	0	0	508
20250816	5	1	12	4	0	1	2	0	1	0	2	0	0	0	0	0	326
20250817	1	0	5	4	0	1	0	0	1	0	0	0	0	0	0	0	170
20250818	5	0	16	10	4	5	3	0	2	2	3	0	0	0	0	0	2175
20250819	3	0	11	4	0	3	1	1	1	1	3	0	0	0	0	0	598
